Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-01,2017-02-01,2017-03-01,1348.1713927987705,65008.824560756715,48.22,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-02,2017-02-02,2017-03-02,1347.4918138447442,64453.2284398218,47.832,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-03,2017-02-03,2017-03-03,1348.4406287132358,64402.87286797286,47.761,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-04,2017-02-04,2017-03-04,1349.1677626585745,64437.60151233618,47.761,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-05,2017-02-05,2017-03-05,1349.8565190616362,64470.49720690281,47.761,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-06,2017-02-06,2017-03-06,1350.8635589790179,64745.53951830535,47.929,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-07,2017-02-07,2017-03-07,1350.5822198559551,64617.25572678832,47.844,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-08,2017-02-08,2017-03-08,1346.49060091838,63997.35177104969,47.529,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-09,2017-02-09,2017-03-09,1345.1556807410554,64049.58773848536,47.615,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-10,2017-02-10,2017-03-10,1342.3918746499328,63934.09781395235,47.627,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-11,2017-02-11,2017-03-11,1340.9680916850862,63866.2873026856,47.627,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-12,2017-02-12,2017-03-12,1340.7980366583406,63858.18809192679,47.627,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-13,2017-02-13,2017-03-13,1339.9714067940388,63818.81819137969,47.627,12
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-14,2017-02-14,2017-03-14,1338.1975048783393,64917.29915915312,48.511,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-15,2017-02-15,2017-03-15,1338.2807673948362,65289.36551812448,48.786,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-16,2017-02-16,2017-03-16,1338.1566719261239,66396.65774763042,49.618,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-17,2017-02-17,2017-03-17,1337.5741243460568,65808.646917826,49.2,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-18,2017-02-18,2017-03-18,1338.006895796879,65829.93927320644,49.2,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-19,2017-02-19,2017-03-19,1338.1001619963372,65834.52797021979,49.2,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-20,2017-02-20,2017-03-20,1340.0176441609156,65922.16800449624,49.195,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-21,2017-02-21,2017-03-21,1341.3766652130082,65625.51196888121,48.924,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-22,2017-02-22,2017-03-22,1339.2314161733966,64727.732806492604,48.332,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-23,2017-02-23,2017-03-23,1337.9432672207038,65377.25980947247,48.864,13
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-24,2017-02-24,2017-03-24,1339.073952139512,66201.13804587319,49.438,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-25,2017-02-25,2017-03-25,1337.1239061346162,66104.73167148315,49.438,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-26,2017-02-26,2017-03-26,1337.292725213114,66113.07774908593,49.438,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-27,2017-02-27,2017-03-27,1337.3241353211904,65861.87634043331,49.249,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-28,2017-02-28,2017-03-28,1336.171168593789,66279.43464692631,49.604,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-29,2017-02-28,2017-03-29,1333.016152397422,66546.8323599841,49.922,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-30,2017-02-28,2017-03-30,1331.1167609879851,66792.77683285512,50.178,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-03-31,2017-02-28,2017-03-31,1330.771057002627,67048.23816496336,50.383,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-01,2017-03-01,2017-04-01,1330.1382589041389,67016.35589836723,50.383,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-02,2017-03-02,2017-04-02,1331.0745221756092,67063.52765077373,50.383,14
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-03,2017-03-03,2017-04-03,1331.6090704936953,67728.30054345033,50.862,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-04,2017-03-04,2017-04-04,1332.8655827929124,67792.20927201312,50.862,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-05,2017-03-05,2017-04-05,1334.6708048803448,68690.16764397183,51.466,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-06,2017-03-06,2017-04-06,1334.9021388885326,68609.9652324539,51.397,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-07,2017-03-07,2017-04-07,1331.415585154176,67875.56653115989,50.98,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-08,2017-03-08,2017-04-08,1329.904556744332,67798.53430282604,50.98,15
HDFC Hybrid Equity Fund - Direct - Growth,48000.0,2013-04-09,2017-03-09,2017-04-09,1327.0818198878094,67654.63117788052,50.98,15
