Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-01,2015-02-01,2015-03-01,788.0043258696053,35688.71591863442,45.29,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-02,2015-02-02,2015-03-02,788.6895151807648,36513.95848432387,46.297,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-03,2015-02-03,2015-03-03,787.2474006084079,36598.34440688427,46.489,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-04,2015-02-04,2015-03-04,789.1081232428874,36179.81834256314,45.849,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-05,2015-02-05,2015-03-05,790.3065299191016,36158.10435685874,45.752,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-06,2015-02-06,2015-03-06,788.4459973344104,36072.98127004395,45.752,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-07,2015-02-07,2015-03-07,786.8723186117392,36000.98232112429,45.752,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-08,2015-02-08,2015-03-08,784.9086017885345,35911.13834902903,45.752,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-09,2015-02-09,2015-03-09,784.0062566160359,35121.912283885176,44.798,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-10,2015-02-10,2015-03-10,782.0025765030152,34908.5950150946,44.64,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-11,2015-02-11,2015-03-11,780.191187941678,34703.68423083378,44.481,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-12,2015-02-12,2015-03-12,779.2772685376076,35066.6978069238,44.999,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-13,2015-02-13,2015-03-13,779.8392812769293,34604.58826738247,44.374,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-14,2015-02-14,2015-03-14,776.6627829667947,34463.63433136855,44.374,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-15,2015-02-15,2015-03-15,776.109795323638,34439.09605769112,44.374,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-16,2015-02-16,2015-03-16,776.0967707020062,34320.55139398412,44.222,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-17,2015-02-17,2015-03-17,776.4255522831679,34642.55529177039,44.618,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-18,2015-02-18,2015-03-18,778.3306570982728,34725.22226643944,44.615,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-19,2015-02-19,2015-03-19,778.4745765464661,34448.27848675767,44.251,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-20,2015-02-20,2015-03-20,779.291045791639,34079.17672351417,43.731,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-21,2015-02-21,2015-03-21,780.686371037556,34140.195691843364,43.731,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-22,2015-02-22,2015-03-22,779.904933756385,34106.022658100475,43.731,20
HDFC Hybrid Equity Fund - Direct - Growth,24000.0,2013-03-23,2015-02-23,2015-03-23,776.0572913916114,33757.716118243705,43.499,20
