Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-01,2014-02-01,2014-03-01,469.70851665610417,13065.88180782285,27.817,9
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-02,2014-02-02,2014-03-02,470.06539393074854,13075.809062971632,27.817,9
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-03,2014-02-03,2014-03-03,468.169386782959,12900.875622191219,27.556,8
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-04,2014-02-04,2014-03-04,469.7551059512925,13094.423578392278,27.875,10
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-05,2014-02-05,2014-03-05,470.58819917640085,13250.822512409095,28.158,11
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-06,2014-02-06,2014-03-06,468.56668517076554,13363.521861070232,28.52,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-07,2014-02-07,2014-03-07,467.73565336813317,13556.382441568603,28.983,13
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-08,2014-02-08,2014-03-08,466.75036495498705,13527.82582749039,28.983,13
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-09,2014-02-09,2014-03-09,467.14060346053844,13539.136110096786,28.983,13
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-10,2014-02-10,2014-03-10,466.54684202931287,13560.650510424008,29.066,14
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-11,2014-02-11,2014-03-11,465.275725847455,13457.63509441179,28.924,13
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-12,2014-02-12,2014-03-12,465.91221575267156,13416.874077029683,28.797,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-13,2014-02-13,2014-03-13,467.2011985577979,13435.772068125152,28.758,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-14,2014-02-14,2014-03-14,464.4305059057167,13429.472508769704,28.916,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-15,2014-02-15,2014-03-15,464.2002112491606,13422.813308480727,28.916,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-16,2014-02-16,2014-03-16,463.4842003377847,13402.109136967383,28.916,12
HDFC Hybrid Equity Fund - Direct - Growth,12000.0,2013-03-17,2014-02-17,2014-03-17,462.938464202064,13386.328630866883,28.916,12
