Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
SBI Equity Hybrid Fund,36000.0,2013-04-01,2016-03-01,2016-04-01,479.8495532878554,46676.405596969555,97.273,14
SBI Equity Hybrid Fund,36000.0,2013-04-02,2016-03-02,2016-04-02,479.52798564791937,46645.12574793006,97.273,14
SBI Equity Hybrid Fund,36000.0,2013-04-03,2016-03-03,2016-04-03,479.6837526657484,46660.27767305534,97.273,14
SBI Equity Hybrid Fund,36000.0,2013-04-04,2016-03-04,2016-04-04,480.055024469585,47062.72238440269,98.0361,15
SBI Equity Hybrid Fund,36000.0,2013-04-05,2016-03-05,2016-04-05,480.0426823485017,46438.36900502936,96.738,14
SBI Equity Hybrid Fund,36000.0,2013-04-06,2016-03-06,2016-04-06,479.7425809565104,46473.191534096215,96.8711,14
SBI Equity Hybrid Fund,36000.0,2013-04-07,2016-03-07,2016-04-07,479.13407679820733,46254.64550594534,96.538,14
SBI Equity Hybrid Fund,36000.0,2013-04-08,2016-03-08,2016-04-08,478.5121640454975,46366.29745708376,96.8968,14
SBI Equity Hybrid Fund,36000.0,2013-04-09,2016-03-09,2016-04-09,477.54470572182976,46272.553841386994,96.8968,14
SBI Equity Hybrid Fund,36000.0,2013-04-10,2016-03-10,2016-04-10,476.9957879896998,46219.36546968034,96.8968,14
SBI Equity Hybrid Fund,36000.0,2013-04-11,2016-03-11,2016-04-11,476.3980716802242,46460.38846196369,97.5243,14
SBI Equity Hybrid Fund,36000.0,2013-04-12,2016-03-12,2016-04-12,475.9012361189528,46646.41146067139,98.017,14
SBI Equity Hybrid Fund,36000.0,2013-04-13,2016-03-13,2016-04-13,475.7380152893886,46984.55242320142,98.7614,14
SBI Equity Hybrid Fund,36000.0,2013-04-14,2016-03-14,2016-04-14,475.5604556355786,46967.01638320763,98.7614,14
SBI Equity Hybrid Fund,36000.0,2013-04-15,2016-03-15,2016-04-15,475.49858352015735,46960.905806467665,98.7614,14
SBI Equity Hybrid Fund,36000.0,2013-04-16,2016-03-16,2016-04-16,474.9652880847007,46908.23680264836,98.7614,14
SBI Equity Hybrid Fund,36000.0,2013-04-17,2016-03-17,2016-04-17,475.341628395515,46945.40469862081,98.7614,14
