Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
SBI Equity Hybrid Fund,24000.0,2013-04-01,2015-03-01,2015-04-01,355.73570969682345,34574.13149328912,97.1905,20
SBI Equity Hybrid Fund,24000.0,2013-04-02,2015-03-02,2015-04-02,355.0428890266072,34506.79590594047,97.1905,20
SBI Equity Hybrid Fund,24000.0,2013-04-03,2015-03-03,2015-04-03,355.24465404231984,34526.40554870009,97.1905,20
SBI Equity Hybrid Fund,24000.0,2013-04-04,2015-03-04,2015-04-04,355.6887042720211,34569.563012549865,97.1905,20
SBI Equity Hybrid Fund,24000.0,2013-04-05,2015-03-05,2015-04-05,355.3132210940484,34533.069614741114,97.1905,20
SBI Equity Hybrid Fund,24000.0,2013-04-06,2015-03-06,2015-04-06,354.65721992724013,34706.68461063573,97.8598,20
SBI Equity Hybrid Fund,24000.0,2013-04-07,2015-03-07,2015-04-07,354.14864552340265,34705.858964002415,97.998,20
SBI Equity Hybrid Fund,24000.0,2013-04-08,2015-03-08,2015-04-08,353.3767751264051,34942.42558966163,98.8815,20
SBI Equity Hybrid Fund,24000.0,2013-04-09,2015-03-09,2015-04-09,352.758740607515,34955.0047102949,99.0904,20
SBI Equity Hybrid Fund,24000.0,2013-04-10,2015-03-10,2015-04-10,352.1792548826015,34915.614815868925,99.1416,20
SBI Equity Hybrid Fund,24000.0,2013-04-11,2015-03-11,2015-04-11,351.7138947000476,34869.47826279424,99.1416,20
SBI Equity Hybrid Fund,24000.0,2013-04-12,2015-03-12,2015-04-12,351.44042733541545,34842.366270716826,99.1416,20
SBI Equity Hybrid Fund,24000.0,2013-04-13,2015-03-13,2015-04-13,351.20640755676743,34985.075082359836,99.614,20
SBI Equity Hybrid Fund,24000.0,2013-04-14,2015-03-14,2015-04-14,350.9580498541299,34960.3351781693,99.614,20
SBI Equity Hybrid Fund,24000.0,2013-04-15,2015-03-15,2015-04-15,350.9159392958833,34743.20458505538,99.0072,20
SBI Equity Hybrid Fund,24000.0,2013-04-16,2015-03-16,2015-04-16,350.64774192275627,34640.9112018394,98.7912,20
SBI Equity Hybrid Fund,24000.0,2013-04-17,2015-03-17,2015-04-17,351.1056051565479,34433.769351155024,98.0724,20
SBI Equity Hybrid Fund,24000.0,2013-04-18,2015-03-18,2015-04-18,351.25477870369957,34448.39915894071,98.0724,20
SBI Equity Hybrid Fund,24000.0,2013-04-19,2015-03-19,2015-04-19,351.1217538262905,34435.353089953496,98.0724,20
SBI Equity Hybrid Fund,24000.0,2013-04-20,2015-03-20,2015-04-20,351.02147201594613,33985.16177549267,96.8179,20
